job_name,creation_time,distance_unit,included_speed_limits,network_name,zone_id,probe_source,map_version,date_range_id,date_range_name,date_from,date_to,time_set_id,time_set_name,time_set_days,time_set_times,segment_id,new_segment_id,street_name,frc,speed_limit,distance_m,geometry_wkt,harmonic_avg_speed,average_speed,median_speed,speed_stddev,sample_size,normalized_sample_size,average_travel_time,median_travel_time,travel_time_stddev,travel_time_ratio,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202040180736,1285520202040180736,Indra Prasta Road,1,50,116.14,"LINESTRING(77.24592 28.62815,77.24613 28.62825,77.24635 28.62839,77.24656 28.62861,77.2467 28.6289)",35.8,37.6,35.3,7.7,16,0.0208,11.68,11.84,3.13,1.0,19,31,33,33,33,33,34,34,35,35,38,39,41,44,44,45,47,48,49
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202040180736,1285520202040180736,Indra Prasta Road,1,50,116.14,"LINESTRING(77.24592 28.62815,77.24613 28.62825,77.24635 28.62839,77.24656 28.62861,77.2467 28.6289)",27.2,31.5,30.5,9.4,32,0.0416,15.39,13.71,9.37,1.32,15,21,22,26,26,28,29,29,30,31,32,33,35,37,38,39,41,41,48
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202049683456,1285520202049683456,Vikas Marg,2,50,67.16,"LINESTRING(77.27647 28.62972,77.27593 28.62936)",26.5,30.7,30.2,8.3,366,0.4759,9.13,8.01,9.85,1.0,19,22,24,25,26,26,27,28,29,30,31,32,33,34,35,36,38,40,44
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202049683456,1285520202049683456,Vikas Marg,2,50,67.16,"LINESTRING(77.27647 28.62972,77.27593 28.62936)",27.2,30.1,29.6,9.7,339,0.4408,8.9,8.17,3.51,0.98,17,20,21,23,24,25,27,28,29,30,30,32,33,34,35,36,37,40,45
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202053910528,1285520202053910528,Noida Link Road,4,70,102.11,"LINESTRING(77.27652 28.62361,77.27659 28.62351,77.27704 28.62281)",48.7,48.7,48.7,0.0,1,0.0013,7.55,7.55,0.0,1.0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202053910528,1285520202053910528,Noida Link Road,4,70,102.11,"LINESTRING(77.27652 28.62361,77.27659 28.62351,77.27704 28.62281)",33.5,39.0,37.5,14.3,9,0.0117,10.99,9.8,5.68,1.46,15,15,31,31,36,36,38,38,38,38,38,38,38,41,41,47,47,69,69
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202073505792,1285520202073505792,Indra Prasta Road,3,50,76.94,"LINESTRING(77.24592 28.62815,77.24671 28.62822)",8.4,21.7,15.3,18.1,253,0.329,33.16,18.1,32.58,1.0,4,4,4,5,5,6,7,8,11,15,19,25,29,34,41,43,46,47,52
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202073505792,1285520202073505792,Indra Prasta Road,3,50,76.94,"LINESTRING(77.24592 28.62815,77.24671 28.62822)",9.3,25.8,28.8,15.9,167,0.2172,29.73,9.62,42.41,0.9,2,3,4,6,8,16,19,24,26,29,31,33,34,37,40,41,43,45,48
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202083532800,1285520202083532800,Geeta Colony Road,2,60,27.83,"LINESTRING(77.27128 28.6314,77.27149 28.63122)",30.5,35.2,36.2,11.9,25,0.0325,3.29,2.77,1.62,1.0,17,18,21,28,30,32,32,33,34,36,36,38,39,39,40,40,44,47,53
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202083532800,1285520202083532800,Geeta Colony Road,2,60,27.83,"LINESTRING(77.27128 28.6314,77.27149 28.63122)",31.8,36.7,35.3,16.8,26,0.0338,3.15,2.84,1.34,0.96,16,23,25,27,30,32,34,34,35,35,36,36,37,40,42,43,44,45,46
